# Constructed from biom file
#OTU ID	1-ITS	10-ITS	11-ITS	12-ITS	13-ITS	14-ITS	15-ITS	16-ITS	17-ITS	18-ITS	19-ITS	2-ITS	20-ITS	21-ITS	22-ITS	23FD-ITS	24-ITS	25-ITS	26-ITS	27-ITS	28-ITS	29-ITS	3-ITS	30-ITS	4-ITS	5-ITS	6-ITS	7-ITS	8-ITS	9-ITS	taxonomy
10898cf52037e37e5985c5f0a03ff9db	112.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7569.0	0.0	0.0	0.0	67.0	11200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__Clavaria; s__Clavaria_tenuipes
8a3eaa5f957eb0704cb2ad7d4c583e10	556.0	22.0	0.0	0.0	487.0	112.0	0.0	0.0	0.0	20.0	0.0	203.0	0.0	72.0	0.0	0.0	0.0	21.0	0.0	23.0	492.0	22.0	0.0	34.0	43.0	7472.0	2127.0	0.0	39.0	7096.0	k__Fungi; p__Ascomycota; c__Sordariomycetes
e6c8151aa2b9c142e5d4d143ed3f5b46	0.0	0.0	0.0	11264.0	0.0	0.0	0.0	0.0	0.0	1049.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	5725.0	367.0	14.0	0.0	0.0	0.0	0.0	227.0	0.0	0.0	44.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__Onygenaceae; g__Auxarthron; s__Auxarthron_umbrinum
5de946849ad4564eade890da05322858	2178.0	16.0	58.0	576.0	69.0	263.0	40.0	0.0	33.0	7165.0	196.0	102.0	102.0	279.0	0.0	0.0	20.0	900.0	1034.0	0.0	2006.0	431.0	0.0	95.0	1117.0	1090.0	304.0	0.0	351.0	132.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Metarhizium; s__Metarhizium_marquandii
4360403cd3e59f847933844e89565fb8	3105.0	1134.0	47.0	0.0	1620.0	167.0	27.0	69.0	96.0	702.0	402.0	2105.0	1018.0	306.0	765.0	0.0	26.0	553.0	586.0	446.0	373.0	0.0	0.0	0.0	612.0	761.0	195.0	28.0	990.0	1925.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Clonostachys; s__unidentified
c2ccdd8026b4af9ce5ad56ade2354278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18005.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe; s__unidentified
b8da529bdb2ee550161ee4d5670d53ac	0.0	0.0	0.0	17393.0	17.0	0.0	0.0	19.0	93.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	27.0	12.0	0.0	29.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	28.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces
31604e1df27291116a71346824b6b5d7	1279.0	221.0	0.0	172.0	744.0	43.0	32.0	0.0	17.0	364.0	624.0	71.0	46.0	406.0	102.0	0.0	182.0	92.0	327.0	7371.0	206.0	50.0	0.0	0.0	36.0	1198.0	223.0	0.0	1650.0	1658.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
d92fee737509041769642828bd7f96c2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1422.0	0.0	0.0	0.0	0.0	0.0	15349.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe; s__unidentified
07edb2b41fa8ac4bf2f5d2a376290ff5	0.0	0.0	0.0	0.0	0.0	0.0	15960.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces; s__unidentified
