id,date,habitat,longitude,latitude,surface_m2,slope_degrees,aspect,vegetation_percent,mosses_percent,soil_percent,rocks_percent,litter_percent,canopy_percent,municipality,district,neighborhood ,site
Xixon23,2023-06-21,N4C,-5.7161683,43.5225483,16,0,-,70,5,20,5,0,0,Xixón,Rural Oeste,Tremañes,"C/ Joaquín Alonso Díaz, cerca de la gasolinera La Lloreda"
Xixon24,2023-06-21,N1,-5.7129633,43.5065433,16,25,SSE,40,15,5,0,40,70,Xixón,Rural Oeste,Porceyo,bosque mixto entre Porceyo y Sotiello
Xixon25,2023-06-22,N3,-5.7015466,43.5425516,16,0,-,90,0,10,0,0,0,Xixón,Xixón Oeste,La Calzada,"Parque El Lauredal, C/ Manuel Rodríguez Álvarez"
Xixon26,2023-06-22,N3,-5.66235,43.5216383,16,0,-,95,0,5,0,0,0,Xixón,Xixón Este,Ciares,"Parque de Los Pericones, Avda. del Llano"
Xixon27,2023-06-22,N3,-5.64363,43.526495,16,0,-,100,0,0,0,0,0,Xixón,Xixón Este,Viesques,Parque Fluvial - Viñao
Xixon28,2023-06-23,N1,-5.6539733,43.512005,16,0,-,80,0,15,0,0,60,Xixón,Rural Este,Granda,"bosque en el Parque de la Senda Verda, Humedal Ornitológico"
Xixon29,2023-06-23,N1,-5.6539733,43.512005,16,0,-,60,0,5,0,25,90,Xixón,Rural Sur,Mareo,bosque mixto en Roces-Sur / Mareo
Xixon30,2023-06-23,N1,-5.7648466,43.4975566,16,25,SE,80,1,10,0,9,90,Xixón,Rural Sur,San Andrés,bosque cerca del Embalse San Andrés de los Tacones
Xixon31,2023-06-28,N4D,-5.705158,43.539377,16,90,SO,20,5,0,75,0,0,Xixón,Xixón Oeste,La Calzada,"muro vertical de ladrillos (""el horno""), c/ Gran Capitán esq. c/ Alejandro Farnesio"
Xixon32,2023-06-28,N4D,-5.70062,43.5354283,16,0,-,5,0,1,94,0,0,Xixón,Xixón Oeste,La Calzada,acera C/ José Manuel Palacio Álvarez; cerca del Punto Limpo
Xixon33,2023-06-28,N4D,-5.6517149,43.52564,16,5,SE,10,0,1,89,0,0,Xixón,Xixón Este,Viesques,calle peatonal paralela a la c/ Aurelio Mnéndez y c/ Poeta José Hierro
Xixon34,2023-06-28,N4D,-5.6342316,43.5364683,16,0,-,5,0,0,90,5,0,Xixón,Xixón Este,La Guía,escaleras (3 escalones) acceso Palacio de Deportes
Xixon35,2023-06-28,N4D,-5.6157416,43.521615,16,0,-,15,15,0,70,0,0,Xixón,Rural Este,Cabueñes,"parking con adoquines, entraba principal JBA"
