"ASV","kingdom","phylum","class","order","family","genus","species","id","value","presence"
"6a4519a0688c0af5ac448926112e13ef","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Ganodermataceae","Ganoderma","Ganoderma carnosum","Xixon16",12,1
"b80cd5dab641cebfe830fc8b8dff6ac8","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Hirsutella",NA,"Xixon16",21,1
"c8a0ccadb235382eba21c9f194bf20ab","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","unidentified","Xixon16",21,1
"b586d09d03654eaaba2a707e688acf57","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus tanneri","Xixon16",20,1
"243eb70647668b952cbfe54c9669cf41","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora europaea","Xixon16",20,1
"bf4c9d96254525159d6ee8aa56296324","Fungi","Basidiomycota","Agaricomycetes","Sebacinales",NA,NA,NA,"Xixon16",19,1
"f3007fea748e9e99270899e7b1cd7df8","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA,"Xixon16",18,1
"e4c9651773f39e398ffac2f4e8d60c39","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Xixon16",18,1
"9e59556743e568522614153e75b4d7a0","Fungi","Chytridiomycota",NA,NA,NA,NA,NA,"Xixon16",17,1
"9ab567e9873df559baf3b1c1190e36a4","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium steckii","Xixon16",16,1
"98cea3295d11e519254f84a2c6b571b0","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe velutipes","Xixon16",15,1
"fff3b0b280e1038acfb3ae4de81d2c99","Fungi","Rozellomycota","unidentified","unidentified","unidentified","unidentified","unidentified","Xixon16",15,1
"89a46b18661d85732d797fd260a00037","Fungi","Chytridiomycota","unidentified","unidentified","unidentified","unidentified","unidentified","Xixon16",14,1
"276439cabc13e922ac4d1bd2a0379f37","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","Ascobolus foliicola","Xixon16",14,1
"1401a9e85bc79da1976d6a9e52c89367","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe",NA,"Xixon16",13,1
"76a27ac87bee28c070e02ba919a90bb0","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Cuphophyllus",NA,"Xixon16",12,1
"a31dae7cd6c22990c83d482b3d191237","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Calceomyces","Calceomyces lacunosus","Xixon16",12,1
"e8a3bf4f97fddc0cea53debe254f5782","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",NA,NA,"Xixon16",12,1
"a2878a4e252dfa8b1162300ca2040ca5","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"Xixon17",4065,1
"c76ba8d443c6cf2eb71de1ac60c9ec38","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium anisopliae","Xixon17",1169,1
